Nombre,Precio,ImageUrl
EQUIPO I3 DE 10ma GENERACION,"4,899",https://i0.wp.com/www.sure.com.bo/wp-content/uploads/2021/12/combo-pc-escritorio-i3.jpg?resize=600%2C600&ssl=1
EQUIPO I5 DE 10ma GENERACION,"5,499",https://i1.wp.com/www.sure.com.bo/wp-content/uploads/2021/12/combo-pc-escritorio-i5.jpg?resize=600%2C600&ssl=1
EQUIPO I7 DE 10ma GENERACION,"6,999",https://i2.wp.com/www.sure.com.bo/wp-content/uploads/2021/12/combo-pc-escritorio-i7.jpg?resize=600%2C600&ssl=1
Equipo SURE Core i3 9100F,"4,309",https://i0.wp.com/www.sure.com.bo/wp-content/uploads/2021/12/CPU-SURE.jpg?resize=600%2C600&ssl=1
Equipo SURE Core i7 8700 8va Gen,"6,499",https://i0.wp.com/www.sure.com.bo/wp-content/uploads/2021/12/CPU-SURE.jpg?resize=600%2C600&ssl=1
Equipo SURE Core i7 8700 8va Gen con TV Monitor SURE de 24″,"6,900",https://i2.wp.com/www.sure.com.bo/wp-content/uploads/2021/12/CPU-MONITOR-TECLADO-MOUSE-Y-PARLANTE.jpg?resize=600%2C600&ssl=1
HP 240 G8 CELERON  N4020 14″,"4,325",https://i1.wp.com/www.sure.com.bo/wp-content/uploads/2022/03/PR-03637_1.jpg?resize=600%2C600&ssl=1
HP Core I3 Intel  i3-10110U 15-dw1085la2,"5,359",https://i0.wp.com/www.sure.com.bo/wp-content/uploads/2022/03/PR-03638_1.jpg?resize=600%2C600&ssl=1
MOUSE WIRELESS W10 YK 2.4G,85,https://i2.wp.com/www.sure.com.bo/wp-content/uploads/2021/12/PR-03208_1.jpg?resize=600%2C600&ssl=1
Regleta de 3 enchufes y 6 puertos usb LDNIO SC3604,129,https://i2.wp.com/www.sure.com.bo/wp-content/uploads/2021/11/19122_1.jpg?resize=600%2C600&ssl=1
CAMARA WEB FULL HD 1800p COMPATIBLE CON WIN / MAC OS x,99,https://i0.wp.com/www.sure.com.bo/wp-content/uploads/2021/08/PR-03058_1.jpg?resize=600%2C600&ssl=1
Dell G5 15 5500 15.6” FHD 144hz Intel Core i7-10750H,"11,499",https://i1.wp.com/www.sure.com.bo/wp-content/uploads/2021/10/PR-02963_1.jpg?resize=600%2C600&ssl=1
DELL VOSTRO 3500  – INTEL CORE I3 11VA G,"5,299",https://i2.wp.com/www.sure.com.bo/wp-content/uploads/2021/10/PR-03298_1.jpg?resize=570%2C570&ssl=1
HP 240 G8 INTEL CORE I3 1005 G1,"4,899",https://i1.wp.com/www.sure.com.bo/wp-content/uploads/2021/10/PR-03297.jpg?resize=600%2C600&ssl=1
Lenovo IdeaPad 3 14” FHD Intel Core i5-1035G1,"5,999",https://i1.wp.com/www.sure.com.bo/wp-content/uploads/2021/10/PR-02962_1.jpg?resize=600%2C600&ssl=1
55″ FHD PANTALLA INTERACTIVA – Smart Meeting Boards,"15,685",https://i2.wp.com/www.sure.com.bo/wp-content/uploads/2021/02/PIZARRA-910-X-910-WEB-sin-pedestal2.jpg?resize=600%2C600&ssl=1
Acer Chromebook 315 15.6″ HD Celereron N4000 4GB/32GB,"2,699",https://i0.wp.com/www.sure.com.bo/wp-content/uploads/2021/07/pr-02767_1-1.jpg?resize=600%2C600&ssl=1
ALL IN ONE SURE 21.3″ HOMESCHOLLING 500GB/4GB/MOUSE/TECLADO/ANTENA WIFI,"4,599",https://i2.wp.com/www.sure.com.bo/wp-content/uploads/2021/03/PR-02571.jpg?resize=600%2C600&ssl=1
Apple MacBook Air – Core i3 1.1 de 13″,"8,399",https://i0.wp.com/www.sure.com.bo/wp-content/uploads/2021/07/PR-02522-1.jpg?resize=500%2C500&ssl=1
